!SOT
8049074!push ebp!RR_ebp_bfd65198_esp_bfd6505c!WM_bfd65058_4_bfd65198!WR_esp_bfd65058
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d8703f_1_65!RR_dl_94_ebp_8d8703c_esi_3!WM_8d8703f_1_f1
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_3!RR_esp_bfd65048!WM_bfd65048_2_4
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_4!RR_esp_bfd65048!WR_edx_4
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_4_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_4!WR_edx_5
80490ac!movzx edx, dl!RR_dl_5!WR_edx_5
80490af!mov edi, edx!RR_edx_5!WR_edi_5
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_5!WR_edx_bfd6508f
80490b3!movzx ecx, byte ptr [edx]!RM_bfd6508f_1_3a!RR_edx_bfd6508f!WR_ecx_3a
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_1f!RR_cl_3a_esp_bfd65048!WM_bfd6504b_1_59
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_59!RR_esp_bfd65048!WR_esi_59
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_59!WR_esi_bfd650e3
80490c1!movzx eax, byte ptr [esi]!RM_bfd650e3_1_32!RR_esi_bfd650e3!WR_eax_32
80490c4!mov byte ptr [edx], al!RR_al_32_edx_bfd6508f!WM_bfd6508f_1_32
80490c6!mov byte ptr [esi], cl!RR_cl_3a_esi_bfd650e3!WM_bfd650e3_1_3a
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_4!RR_esp_bfd65048!WR_esi_4
80490cc!add cl, byte ptr [edx]!RM_bfd6508f_1_32!RR_cl_3a_edx_bfd6508f!WR_cl_6c
80490ce!movzx ecx, cl!RR_cl_6c!WR_ecx_6c
