!SOT
80487ee!cmp dword ptr [ebp-0x18], 0x1f!RM_bf89a490_4_2!RR_ebp_bf89a4a8
80487f2!setbe al!WR_al_1
80487f5!test al, al!RR_al_1
80487f7!jnz 0x80487a2
80487a2!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_4ce2e000!RR_ebp_bf89a4a8!WR_eax_4ce2e000
80487a5!shl eax, 0x4!RR_eax_4ce2e000!WR_eax_ce2e0000
80487a8!add eax, dword ptr [ebp-0x8]!RM_bf89a4a0_4_deadbee3!RR_eax_ce2e0000_ebp_bf89a4a8!WR_eax_acdbbee3
80487ab!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_8a8043ae!RR_ebp_bf89a4a8!WR_edx_8a8043ae
80487ae!mov ecx, dword ptr [ebp-0x24]!RM_bf89a484_4_4ce2e000!RR_ebp_bf89a4a8!WR_ecx_4ce2e000
80487b1!add edx, ecx!RR_ecx_4ce2e000_edx_8a8043ae!WR_edx_d76323ae
80487b3!xor edx, eax!RR_eax_acdbbee3_edx_d76323ae!WR_edx_7bb89d4d
80487b5!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_4ce2e000!RR_ebp_bf89a4a8!WR_eax_4ce2e000
80487b8!shr eax, 0x5!RR_eax_4ce2e000!WR_eax_2671700
80487bb!add eax, dword ptr [ebp-0x4]!RM_bf89a4a4_4_deadbee4!RR_eax_2671700_ebp_bf89a4a8!WR_eax_e114d5e4
80487be!xor eax, edx!RR_eax_e114d5e4_edx_7bb89d4d!WR_eax_9aac48a9
80487c0!sub dword ptr [ebp-0x20], eax!RM_bf89a488_4_2c516698!RR_eax_9aac48a9_ebp_bf89a4a8!WM_bf89a488_4_91a51def
80487c3!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_91a51def!RR_ebp_bf89a4a8!WR_eax_91a51def
80487c6!shl eax, 0x4!RR_eax_91a51def!WR_eax_1a51def0
80487c9!add eax, dword ptr [ebp-0x10]!RM_bf89a498_4_deadbee1!RR_eax_1a51def0_ebp_bf89a4a8!WR_eax_f8ff9dd1
80487cc!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_8a8043ae!RR_ebp_bf89a4a8!WR_edx_8a8043ae
80487cf!mov ecx, dword ptr [ebp-0x20]!RM_bf89a488_4_91a51def!RR_ebp_bf89a4a8!WR_ecx_91a51def
80487d2!add edx, ecx!RR_ecx_91a51def_edx_8a8043ae!WR_edx_1c25619d
80487d4!xor edx, eax!RR_eax_f8ff9dd1_edx_1c25619d!WR_edx_e4dafc4c
80487d6!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_91a51def!RR_ebp_bf89a4a8!WR_eax_91a51def
80487d9!shr eax, 0x5!RR_eax_91a51def!WR_eax_48d28ef
80487dc!add eax, dword ptr [ebp-0xc]!RM_bf89a49c_4_deadbee2!RR_eax_48d28ef_ebp_bf89a4a8!WR_eax_e33ae7d1
80487df!xor eax, edx!RR_eax_e33ae7d1_edx_e4dafc4c!WR_eax_7e01b9d
80487e1!sub dword ptr [ebp-0x24], eax!RM_bf89a484_4_4ce2e000!RR_eax_7e01b9d_ebp_bf89a4a8!WM_bf89a484_4_4502c463
80487e4!mov eax, dword ptr [ebp-0x14]!RM_bf89a494_4_9e3779b9!RR_ebp_bf89a4a8!WR_eax_9e3779b9
80487e7!sub dword ptr [ebp-0x1c], eax!RM_bf89a48c_4_8a8043ae!RR_eax_9e3779b9_ebp_bf89a4a8!WM_bf89a48c_4_ec48c9f5
80487ea!add dword ptr [ebp-0x18], 0x1!RM_bf89a490_4_2!RR_ebp_bf89a4a8!WM_bf89a490_4_3
80487ee!cmp dword ptr [ebp-0x18], 0x1f!RM_bf89a490_4_3!RR_ebp_bf89a4a8
80487f2!setbe al!WR_al_1
80487f5!test al, al!RR_al_1
80487f7!jnz 0x80487a2
80487a2!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_4502c463!RR_ebp_bf89a4a8!WR_eax_4502c463
80487a5!shl eax, 0x4!RR_eax_4502c463!WR_eax_502c4630
80487a8!add eax, dword ptr [ebp-0x8]!RM_bf89a4a0_4_deadbee3!RR_eax_502c4630_ebp_bf89a4a8!WR_eax_2eda0513
80487ab!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_ec48c9f5!RR_ebp_bf89a4a8!WR_edx_ec48c9f5
80487ae!mov ecx, dword ptr [ebp-0x24]!RM_bf89a484_4_4502c463!RR_ebp_bf89a4a8!WR_ecx_4502c463
80487b1!add edx, ecx!RR_ecx_4502c463_edx_ec48c9f5!WR_edx_314b8e58
80487b3!xor edx, eax!RR_eax_2eda0513_edx_314b8e58!WR_edx_1f918b4b
80487b5!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_4502c463!RR_ebp_bf89a4a8!WR_eax_4502c463
80487b8!shr eax, 0x5!RR_eax_4502c463!WR_eax_2281623
80487bb!add eax, dword ptr [ebp-0x4]!RM_bf89a4a4_4_deadbee4!RR_eax_2281623_ebp_bf89a4a8!WR_eax_e0d5d507
80487be!xor eax, edx!RR_eax_e0d5d507_edx_1f918b4b!WR_eax_ff445e4c
80487c0!sub dword ptr [ebp-0x20], eax!RM_bf89a488_4_91a51def!RR_eax_ff445e4c_ebp_bf89a4a8!WM_bf89a488_4_9260bfa3
80487c3!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_9260bfa3!RR_ebp_bf89a4a8!WR_eax_9260bfa3
80487c6!shl eax, 0x4!RR_eax_9260bfa3!WR_eax_260bfa30
80487c9!add eax, dword ptr [ebp-0x10]!RM_bf89a498_4_deadbee1!RR_eax_260bfa30_ebp_bf89a4a8!WR_eax_4b9b911
80487cc!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_ec48c9f5!RR_ebp_bf89a4a8!WR_edx_ec48c9f5
80487cf!mov ecx, dword ptr [ebp-0x20]!RM_bf89a488_4_9260bfa3!RR_ebp_bf89a4a8!WR_ecx_9260bfa3
80487d2!add edx, ecx!RR_ecx_9260bfa3_edx_ec48c9f5!WR_edx_7ea98998
80487d4!xor edx, eax!RR_eax_4b9b911_edx_7ea98998!WR_edx_7a103089
80487d6!mov eax, dword ptr [ebp-0x20]!RM_bf89a488_4_9260bfa3!RR_ebp_bf89a4a8!WR_eax_9260bfa3
80487d9!shr eax, 0x5!RR_eax_9260bfa3!WR_eax_49305fd
80487dc!add eax, dword ptr [ebp-0xc]!RM_bf89a49c_4_deadbee2!RR_eax_49305fd_ebp_bf89a4a8!WR_eax_e340c4df
80487df!xor eax, edx!RR_eax_e340c4df_edx_7a103089!WR_eax_9950f456
80487e1!sub dword ptr [ebp-0x24], eax!RM_bf89a484_4_4502c463!RR_eax_9950f456_ebp_bf89a4a8!WM_bf89a484_4_abb1d00d
80487e4!mov eax, dword ptr [ebp-0x14]!RM_bf89a494_4_9e3779b9!RR_ebp_bf89a4a8!WR_eax_9e3779b9
80487e7!sub dword ptr [ebp-0x1c], eax!RM_bf89a48c_4_ec48c9f5!RR_eax_9e3779b9_ebp_bf89a4a8!WM_bf89a48c_4_4e11503c
80487ea!add dword ptr [ebp-0x18], 0x1!RM_bf89a490_4_3!RR_ebp_bf89a4a8!WM_bf89a490_4_4
80487ee!cmp dword ptr [ebp-0x18], 0x1f!RM_bf89a490_4_4!RR_ebp_bf89a4a8
80487f2!setbe al!WR_al_1
80487f5!test al, al!RR_al_1
80487f7!jnz 0x80487a2
80487a2!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_abb1d00d!RR_ebp_bf89a4a8!WR_eax_abb1d00d
80487a5!shl eax, 0x4!RR_eax_abb1d00d!WR_eax_bb1d00d0
80487a8!add eax, dword ptr [ebp-0x8]!RM_bf89a4a0_4_deadbee3!RR_eax_bb1d00d0_ebp_bf89a4a8!WR_eax_99cabfb3
80487ab!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_4e11503c!RR_ebp_bf89a4a8!WR_edx_4e11503c
80487ae!mov ecx, dword ptr [ebp-0x24]!RM_bf89a484_4_abb1d00d!RR_ebp_bf89a4a8!WR_ecx_abb1d00d
