!SOT
8049074!push ebp!RR_ebp_bfb1fa18_esp_bfb1f8dc!WM_bfb1f8d8_4_bfb1fa18!WR_esp_bfb1f8d8
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_4!RR_esp_bfb1f8c8!WR_esi_4
80490cc!add cl, byte ptr [edx]!RM_bfb1f90f_1_32!RR_cl_3a_edx_bfb1f90f!WR_cl_6c
80490ce!movzx ecx, cl!RR_cl_6c!WR_ecx_6c
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f976_1_12!RR_ebx_bfb1f90a_ecx_6c!WR_edx_12
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a23040_1_72!RR_dl_12_ebp_9a2303c_esi_4!WM_9a23040_1_60
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_4!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_5
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_5!RR_esp_bfb1f8c8!WR_edx_5
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_5_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_5!WR_edx_6
80490ac!movzx edx, dl!RR_dl_6!WR_edx_6
80490af!mov edi, edx!RR_edx_6!WR_edi_6
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_6!WR_edx_bfb1f910
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f910_1_d4!RR_edx_bfb1f910!WR_ecx_d4
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_59!RR_cl_d4_esp_bfb1f8c8!WM_bfb1f8cb_1_2d
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_2d!RR_esp_bfb1f8c8!WR_esi_2d
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_2d!WR_esi_bfb1f937
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f937_1_ab!RR_esi_bfb1f937!WR_eax_ab
80490c4!mov byte ptr [edx], al!RR_al_ab_edx_bfb1f910!WM_bfb1f910_1_ab
80490c6!mov byte ptr [esi], cl!RR_cl_d4_esi_bfb1f937!WM_bfb1f937_1_d4
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_5!RR_esp_bfb1f8c8!WR_esi_5
80490cc!add cl, byte ptr [edx]!RM_bfb1f910_1_ab!RR_cl_d4_edx_bfb1f910!WR_cl_7f
80490ce!movzx ecx, cl!RR_cl_7f!WR_ecx_7f
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f989_1_86!RR_ebx_bfb1f90a_ecx_7f!WR_edx_86
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a23041_1_50!RR_dl_86_ebp_9a2303c_esi_5!WM_9a23041_1_d6
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_5!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_6
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_6!RR_esp_bfb1f8c8!WR_edx_6
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_6_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_6!WR_edx_7
80490ac!movzx edx, dl!RR_dl_7!WR_edx_7
80490af!mov edi, edx!RR_edx_7!WR_edi_7
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_7!WR_edx_bfb1f911
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f911_1_16!RR_edx_bfb1f911!WR_ecx_16
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_2d!RR_cl_16_esp_bfb1f8c8!WM_bfb1f8cb_1_43
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_43!RR_esp_bfb1f8c8!WR_esi_43
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_43!WR_esi_bfb1f94d
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f94d_1_eb!RR_esi_bfb1f94d!WR_eax_eb
80490c4!mov byte ptr [edx], al!RR_al_eb_edx_bfb1f911!WM_bfb1f911_1_eb
80490c6!mov byte ptr [esi], cl!RR_cl_16_esi_bfb1f94d!WM_bfb1f94d_1_16
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_6!RR_esp_bfb1f8c8!WR_esi_6
80490cc!add cl, byte ptr [edx]!RM_bfb1f911_1_eb!RR_cl_16_edx_bfb1f911!WR_cl_1
80490ce!movzx ecx, cl!RR_cl_1!WR_ecx_1
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f90b_1_61!RR_ebx_bfb1f90a_ecx_1!WR_edx_61
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a23042_1_6c!RR_dl_61_ebp_9a2303c_esi_6!WM_9a23042_1_d
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_6!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_7
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_7!RR_esp_bfb1f8c8!WR_edx_7
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_7_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_7!WR_edx_8
80490ac!movzx edx, dl!RR_dl_8!WR_edx_8
80490af!mov edi, edx!RR_edx_8!WR_edi_8
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_8!WR_edx_bfb1f912
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f912_1_a5!RR_edx_bfb1f912!WR_ecx_a5
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_43!RR_cl_a5_esp_bfb1f8c8!WM_bfb1f8cb_1_e8
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_e8!RR_esp_bfb1f8c8!WR_esi_e8
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_e8!WR_esi_bfb1f9f2
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f9f2_1_bd!RR_esi_bfb1f9f2!WR_eax_bd
80490c4!mov byte ptr [edx], al!RR_al_bd_edx_bfb1f912!WM_bfb1f912_1_bd
80490c6!mov byte ptr [esi], cl!RR_cl_a5_esi_bfb1f9f2!WM_bfb1f9f2_1_a5
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_7!RR_esp_bfb1f8c8!WR_esi_7
80490cc!add cl, byte ptr [edx]!RM_bfb1f912_1_bd!RR_cl_a5_edx_bfb1f912!WR_cl_62
80490ce!movzx ecx, cl!RR_cl_62!WR_ecx_62
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f96c_1_b7!RR_ebx_bfb1f90a_ecx_62!WR_edx_b7
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a23043_1_61!RR_dl_b7_ebp_9a2303c_esi_7!WM_9a23043_1_d6
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_7!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_8
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_8!RR_esp_bfb1f8c8!WR_edx_8
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_8_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_8!WR_edx_9
80490ac!movzx edx, dl!RR_dl_9!WR_edx_9
80490af!mov edi, edx!RR_edx_9!WR_edi_9
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_9!WR_edx_bfb1f913
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f913_1_57!RR_edx_bfb1f913!WR_ecx_57
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_e8!RR_cl_57_esp_bfb1f8c8!WM_bfb1f8cb_1_3f
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_3f!RR_esp_bfb1f8c8!WR_esi_3f
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_3f!WR_esi_bfb1f949
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f949_1_5e!RR_esi_bfb1f949!WR_eax_5e
80490c4!mov byte ptr [edx], al!RR_al_5e_edx_bfb1f913!WM_bfb1f913_1_5e
80490c6!mov byte ptr [esi], cl!RR_cl_57_esi_bfb1f949!WM_bfb1f949_1_57
