!SOT
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_2d!RR_cl_16_esp_bfec3bb8!WM_bfec3bbb_1_43
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_43!RR_esp_bfec3bb8!WR_edi_43
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_43!WR_edi_bfec3c3d
8049348!movzx eax, byte ptr [edi]!RM_bfec3c3d_1_eb!RR_edi_bfec3c3d!WR_eax_eb
804934b!mov byte ptr [edx], al!RR_al_eb_edx_bfec3c01!WM_bfec3c01_1_eb
804934d!mov byte ptr [edi], cl!RR_cl_16_edi_bfec3c3d!WM_bfec3c3d_1_16
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_6!RR_esp_bfec3bb8!WR_edi_6
8049353!add cl, byte ptr [edx]!RM_bfec3c01_1_eb!RR_cl_16_edx_bfec3c01!WR_cl_1
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_6!RR_esp_bfec3bb8!WM_bfec3bb8_2_7
804935a!movzx ecx, cl!RR_cl_1!WR_ecx_1
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3bfb_1_61!RR_ebx_bfec3bfa_ecx_1!WR_edx_61
8049361!xor byte ptr [esi+edi*1], dl!RM_90b0042_1_6c!RR_dl_61_esi_90b003c_edi_6!WM_90b0042_1_d
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_7!RR_esp_bfec3bb8!WR_edx_7
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_7_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_7!WR_edx_8
8049333!movzx edx, dl!RR_dl_8!WR_edx_8
8049336!mov ebp, edx!RR_edx_8!WR_ebp_8
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_8!WR_edx_bfec3c02
804933a!movzx ecx, byte ptr [edx]!RM_bfec3c02_1_a5!RR_edx_bfec3c02!WR_ecx_a5
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_43!RR_cl_a5_esp_bfec3bb8!WM_bfec3bbb_1_e8
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_e8!RR_esp_bfec3bb8!WR_edi_e8
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_e8!WR_edi_bfec3ce2
8049348!movzx eax, byte ptr [edi]!RM_bfec3ce2_1_bd!RR_edi_bfec3ce2!WR_eax_bd
804934b!mov byte ptr [edx], al!RR_al_bd_edx_bfec3c02!WM_bfec3c02_1_bd
804934d!mov byte ptr [edi], cl!RR_cl_a5_edi_bfec3ce2!WM_bfec3ce2_1_a5
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_7!RR_esp_bfec3bb8!WR_edi_7
8049353!add cl, byte ptr [edx]!RM_bfec3c02_1_bd!RR_cl_a5_edx_bfec3c02!WR_cl_62
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_7!RR_esp_bfec3bb8!WM_bfec3bb8_2_8
804935a!movzx ecx, cl!RR_cl_62!WR_ecx_62
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3c5c_1_b7!RR_ebx_bfec3bfa_ecx_62!WR_edx_b7
8049361!xor byte ptr [esi+edi*1], dl!RM_90b0043_1_61!RR_dl_b7_esi_90b003c_edi_7!WM_90b0043_1_d6
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_8!RR_esp_bfec3bb8!WR_edx_8
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_8_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_8!WR_edx_9
8049333!movzx edx, dl!RR_dl_9!WR_edx_9
8049336!mov ebp, edx!RR_edx_9!WR_ebp_9
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_9!WR_edx_bfec3c03
804933a!movzx ecx, byte ptr [edx]!RM_bfec3c03_1_57!RR_edx_bfec3c03!WR_ecx_57
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_e8!RR_cl_57_esp_bfec3bb8!WM_bfec3bbb_1_3f
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_3f!RR_esp_bfec3bb8!WR_edi_3f
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_3f!WR_edi_bfec3c39
8049348!movzx eax, byte ptr [edi]!RM_bfec3c39_1_5e!RR_edi_bfec3c39!WR_eax_5e
804934b!mov byte ptr [edx], al!RR_al_5e_edx_bfec3c03!WM_bfec3c03_1_5e
